"Запрос: РегистрСведений.БуферТендеров (Записей в результате: 1 000)",,,,,,,,,,,,,,,,,,,,,,,,,,,
НомерЗаявки,ЗаказчикНаименование,ЗаказчикИНН,ЗаказчикРегионНаименование,ТипЗакупки,ВидЗакупки,Цена,СогласованнаяЦена,ВыиграннаяЦена,ДатаДобавления,Наименование,НачалоПоказа,ДатаОкончания,Статус,СсылкаПротокола,ДатаСтатуса,Площадка,НомерЗаявкиНаПлощадке,ДатаАукциона,ДатаВозвратаОбеспечения,ДатаНачалаОбучения,ДатаЗаключенияКонтракта,УчастникНаименование,УчастникГород,УчастникГородСмещениеUTC,УчастникИНН,УчастникСтавка,ДатаДобавленияСтавки
100000060121100050,"УПРАВЛЕНИЕ РОСКОМНАДЗОРА ПО РЕСПУБЛИКЕ КАРЕЛИЯ",1001047941,"РЕСП КАРЕЛИЯ, ул УЛ БАЛТИЙСКАЯ (КУККОВКА Р-Н), д. 41","Закупка до 600 000 руб. (п. 4 ч.1 ст. 93 Закона №44-ФЗ)",Неизвестно,7200,501,501,"02.08.2021 20:32:53","Обучение по пожарно-техническому минимуму. 
ОБУЧЕНИЕ ПО ПОЖАРНО-ТЕХНИЧЕСКОМУ МИНИМУМУ. Наименование товара (работы, услуги)КоличествоЦена за ед. руб.Стоимость, руб.
---
КОНТАКТ: Наталья Баранова Геннадьевна
rsockanc10@rkn.gov.ru, тел. 78142445071","02.08.2021 19:58:00","02.08.2021 21:58:00",Выиграна,https://agregatoreat.ru/lk/supplier/eat/announcement/01335ccb-7223-4fd0-8189-e1fe95c6eebd/contract,"04.08.2021 17:57:15",Берёзка,100000060121100050,"02.08.2021 21:58:00",,,"04.08.2021 0:00:00","АНО ДПО ""ДВИПРАЗ""",ХАБАРОВСК,10,2721981346,501,"03.08.2021 7:17:01"
100000060121100050,"УПРАВЛЕНИЕ РОСКОМНАДЗОРА ПО РЕСПУБЛИКЕ КАРЕЛИЯ",1001047941,"РЕСП КАРЕЛИЯ, ул УЛ БАЛТИЙСКАЯ (КУККОВКА Р-Н), д. 41","Закупка до 600 000 руб. (п. 4 ч.1 ст. 93 Закона №44-ФЗ)",Неизвестно,7200,501,501,"02.08.2021 20:32:53","Обучение по пожарно-техническому минимуму. 
ОБУЧЕНИЕ ПО ПОЖАРНО-ТЕХНИЧЕСКОМУ МИНИМУМУ. Наименование товара (работы, услуги)КоличествоЦена за ед. руб.Стоимость, руб.
---
КОНТАКТ: Наталья Баранова Геннадьевна
rsockanc10@rkn.gov.ru, тел. 78142445071","02.08.2021 19:58:00","02.08.2021 21:58:00",Выиграна,https://agregatoreat.ru/lk/supplier/eat/announcement/01335ccb-7223-4fd0-8189-e1fe95c6eebd/contract,"04.08.2021 17:57:15",Берёзка,100000060121100050,"02.08.2021 21:58:00",,,"04.08.2021 0:00:00","АНО ДПО ""МУЦ ""ОРК""",САМАРА,4,6313553452,810,"03.08.2021 7:17:01"
100000060121100050,"УПРАВЛЕНИЕ РОСКОМНАДЗОРА ПО РЕСПУБЛИКЕ КАРЕЛИЯ",1001047941,"РЕСП КАРЕЛИЯ, ул УЛ БАЛТИЙСКАЯ (КУККОВКА Р-Н), д. 41","Закупка до 600 000 руб. (п. 4 ч.1 ст. 93 Закона №44-ФЗ)",Неизвестно,7200,501,501,"02.08.2021 20:32:53","Обучение по пожарно-техническому минимуму. 
ОБУЧЕНИЕ ПО ПОЖАРНО-ТЕХНИЧЕСКОМУ МИНИМУМУ. Наименование товара (работы, услуги)КоличествоЦена за ед. руб.Стоимость, руб.
---
КОНТАКТ: Наталья Баранова Геннадьевна
rsockanc10@rkn.gov.ru, тел. 78142445071","02.08.2021 19:58:00","02.08.2021 21:58:00",Выиграна,https://agregatoreat.ru/lk/supplier/eat/announcement/01335ccb-7223-4fd0-8189-e1fe95c6eebd/contract,"04.08.2021 17:57:15",Берёзка,100000060121100050,"02.08.2021 21:58:00",,,"04.08.2021 0:00:00","ООО ""ИНЖЕНЕР""",СЕВЕРОДВИНСК,3,2902085895,1200,"03.08.2021 7:17:02"
100000060121100050,"УПРАВЛЕНИЕ РОСКОМНАДЗОРА ПО РЕСПУБЛИКЕ КАРЕЛИЯ",1001047941,"РЕСП КАРЕЛИЯ, ул УЛ БАЛТИЙСКАЯ (КУККОВКА Р-Н), д. 41","Закупка до 600 000 руб. (п. 4 ч.1 ст. 93 Закона №44-ФЗ)",Неизвестно,7200,501,501,"02.08.2021 20:32:53","Обучение по пожарно-техническому минимуму. 
ОБУЧЕНИЕ ПО ПОЖАРНО-ТЕХНИЧЕСКОМУ МИНИМУМУ. Наименование товара (работы, услуги)КоличествоЦена за ед. руб.Стоимость, руб.
---
КОНТАКТ: Наталья Баранова Геннадьевна
rsockanc10@rkn.gov.ru, тел. 78142445071","02.08.2021 19:58:00","02.08.2021 21:58:00",Выиграна,https://agregatoreat.ru/lk/supplier/eat/announcement/01335ccb-7223-4fd0-8189-e1fe95c6eebd/contract,"04.08.2021 17:57:15",Берёзка,100000060121100050,"02.08.2021 21:58:00",,,"04.08.2021 0:00:00","АНО ДПО УО УМЦОТ",УЛЬЯНОВСК,4,7325146090,528,"03.08.2021 7:17:01"
100000060121100050,"УПРАВЛЕНИЕ РОСКОМНАДЗОРА ПО РЕСПУБЛИКЕ КАРЕЛИЯ",1001047941,"РЕСП КАРЕЛИЯ, ул УЛ БАЛТИЙСКАЯ (КУККОВКА Р-Н), д. 41","Закупка до 600 000 руб. (п. 4 ч.1 ст. 93 Закона №44-ФЗ)",Неизвестно,7200,501,501,"02.08.2021 20:32:53","Обучение по пожарно-техническому минимуму. 
ОБУЧЕНИЕ ПО ПОЖАРНО-ТЕХНИЧЕСКОМУ МИНИМУМУ. Наименование товара (работы, услуги)КоличествоЦена за ед. руб.Стоимость, руб.
---
КОНТАКТ: Наталья Баранова Геннадьевна
rsockanc10@rkn.gov.ru, тел. 78142445071","02.08.2021 19:58:00","02.08.2021 21:58:00",Выиграна,https://agregatoreat.ru/lk/supplier/eat/announcement/01335ccb-7223-4fd0-8189-e1fe95c6eebd/contract,"04.08.2021 17:57:15",Берёзка,100000060121100050,"02.08.2021 21:58:00",,,"04.08.2021 0:00:00","АНО НДПО УКЦ ""Ликей""",ТВЕРЬ,3,6901070967,4500,"03.08.2021 7:17:02"
100000060121100051,"УПРАВЛЕНИЕ РОСКОМНАДЗОРА ПО РЕСПУБЛИКЕ КАРЕЛИЯ",1001047941,"РЕСП КАРЕЛИЯ, ул УЛ БАЛТИЙСКАЯ (КУККОВКА Р-Н), д. 41","Закупка до 600 000 руб. (п. 4 ч.1 ст. 93 Закона №44-ФЗ)",Неизвестно,3534,302,302,"02.08.2021 21:27:15","Дистанционное обучение: Охрана труда 40-72-256 ч, №1001, 1001_2, 1002_1. 
ОБУЧЕНИЕ И ПРОВЕРКА ЗНАНИЙ ТРЕБОВАНИЙ ОХРАНЫ ТРУДА. Наименование товара (работы, услуги)КоличествоЦена за ед. руб.Стоимость, руб.
---
КОНТАКТ: Наталья Баранова Геннадьевна
rsockanc10@rkn.gov.ru, тел. 78142445071","02.08.2021 20:50:00","02.08.2021 22:50:00",Выиграна,https://agregatoreat.ru/lk/supplier/eat/announcement/6cc61f78-2b29-4b6b-8f81-830e789a32d2/contract,"04.08.2021 21:44:22",Берёзка,100000060121100051,"02.08.2021 22:50:00",,,"04.08.2021 0:00:00","АНО ДПО ""ДВИПРАЗ""",ХАБАРОВСК,10,2721981346,302,"03.08.2021 7:17:03"
100000060121100051,"УПРАВЛЕНИЕ РОСКОМНАДЗОРА ПО РЕСПУБЛИКЕ КАРЕЛИЯ",1001047941,"РЕСП КАРЕЛИЯ, ул УЛ БАЛТИЙСКАЯ (КУККОВКА Р-Н), д. 41","Закупка до 600 000 руб. (п. 4 ч.1 ст. 93 Закона №44-ФЗ)",Неизвестно,3534,302,302,"02.08.2021 21:27:15","Дистанционное обучение: Охрана труда 40-72-256 ч, №1001, 1001_2, 1002_1. 
ОБУЧЕНИЕ И ПРОВЕРКА ЗНАНИЙ ТРЕБОВАНИЙ ОХРАНЫ ТРУДА. Наименование товара (работы, услуги)КоличествоЦена за ед. руб.Стоимость, руб.
---
КОНТАКТ: Наталья Баранова Геннадьевна
rsockanc10@rkn.gov.ru, тел. 78142445071","02.08.2021 20:50:00","02.08.2021 22:50:00",Выиграна,https://agregatoreat.ru/lk/supplier/eat/announcement/6cc61f78-2b29-4b6b-8f81-830e789a32d2/contract,"04.08.2021 21:44:22",Берёзка,100000060121100051,"02.08.2021 22:50:00",,,"04.08.2021 0:00:00","АНО ДПО МПЦ ""ФЕНИКС""",ЧЕЛЯБИНСК,5,7453315393,960,"03.08.2021 7:17:03"
100000060121100051,"УПРАВЛЕНИЕ РОСКОМНАДЗОРА ПО РЕСПУБЛИКЕ КАРЕЛИЯ",1001047941,"РЕСП КАРЕЛИЯ, ул УЛ БАЛТИЙСКАЯ (КУККОВКА Р-Н), д. 41","Закупка до 600 000 руб. (п. 4 ч.1 ст. 93 Закона №44-ФЗ)",Неизвестно,3534,302,302,"02.08.2021 21:27:15","Дистанционное обучение: Охрана труда 40-72-256 ч, №1001, 1001_2, 1002_1. 
ОБУЧЕНИЕ И ПРОВЕРКА ЗНАНИЙ ТРЕБОВАНИЙ ОХРАНЫ ТРУДА. Наименование товара (работы, услуги)КоличествоЦена за ед. руб.Стоимость, руб.
---
КОНТАКТ: Наталья Баранова Геннадьевна
rsockanc10@rkn.gov.ru, тел. 78142445071","02.08.2021 20:50:00","02.08.2021 22:50:00",Выиграна,https://agregatoreat.ru/lk/supplier/eat/announcement/6cc61f78-2b29-4b6b-8f81-830e789a32d2/contract,"04.08.2021 21:44:22",Берёзка,100000060121100051,"02.08.2021 22:50:00",,,"04.08.2021 0:00:00","ООО ""МНОГОПРОФИЛЬНЫЙ УЧЕБНЫЙ ЦЕНТР""",ИЖЕВСК,4,1841088069,640,"03.08.2021 7:17:03"
100000060121100051,"УПРАВЛЕНИЕ РОСКОМНАДЗОРА ПО РЕСПУБЛИКЕ КАРЕЛИЯ",1001047941,"РЕСП КАРЕЛИЯ, ул УЛ БАЛТИЙСКАЯ (КУККОВКА Р-Н), д. 41","Закупка до 600 000 руб. (п. 4 ч.1 ст. 93 Закона №44-ФЗ)",Неизвестно,3534,302,302,"02.08.2021 21:27:15","Дистанционное обучение: Охрана труда 40-72-256 ч, №1001, 1001_2, 1002_1. 
ОБУЧЕНИЕ И ПРОВЕРКА ЗНАНИЙ ТРЕБОВАНИЙ ОХРАНЫ ТРУДА. Наименование товара (работы, услуги)КоличествоЦена за ед. руб.Стоимость, руб.
---
КОНТАКТ: Наталья Баранова Геннадьевна
rsockanc10@rkn.gov.ru, тел. 78142445071","02.08.2021 20:50:00","02.08.2021 22:50:00",Выиграна,https://agregatoreat.ru/lk/supplier/eat/announcement/6cc61f78-2b29-4b6b-8f81-830e789a32d2/contract,"04.08.2021 21:44:22",Берёзка,100000060121100051,"02.08.2021 22:50:00",,,"04.08.2021 0:00:00","АНО ДПО ""ВЕРИФИС""",ОРЕНБУРГ,5,5609176514,1000,"03.08.2021 7:17:03"
100000060121100051,"УПРАВЛЕНИЕ РОСКОМНАДЗОРА ПО РЕСПУБЛИКЕ КАРЕЛИЯ",1001047941,"РЕСП КАРЕЛИЯ, ул УЛ БАЛТИЙСКАЯ (КУККОВКА Р-Н), д. 41","Закупка до 600 000 руб. (п. 4 ч.1 ст. 93 Закона №44-ФЗ)",Неизвестно,3534,302,302,"02.08.2021 21:27:15","Дистанционное обучение: Охрана труда 40-72-256 ч, №1001, 1001_2, 1002_1. 
ОБУЧЕНИЕ И ПРОВЕРКА ЗНАНИЙ ТРЕБОВАНИЙ ОХРАНЫ ТРУДА. Наименование товара (работы, услуги)КоличествоЦена за ед. руб.Стоимость, руб.
---
КОНТАКТ: Наталья Баранова Геннадьевна
rsockanc10@rkn.gov.ru, тел. 78142445071","02.08.2021 20:50:00","02.08.2021 22:50:00",Выиграна,https://agregatoreat.ru/lk/supplier/eat/announcement/6cc61f78-2b29-4b6b-8f81-830e789a32d2/contract,"04.08.2021 21:44:22",Берёзка,100000060121100051,"02.08.2021 22:50:00",,,"04.08.2021 0:00:00","ЧОУ ДПО ИЦ ""ТЕХНИКА""",УФА,5,273041550,980,"03.08.2021 7:17:03"
